n,T_tot,E
0.0,0.02059089058399483,0.5727181985389828
0.005,0.02059089058399483,0.5642348467722019
0.01,0.02059089058399483,0.5559719278393787
0.015,0.02059089058399483,0.5479234122902844
0.02,0.02059089058399483,0.540083453957878
0.025,0.02059089058399483,0.5324463842555857
0.03,0.02059089058399483,0.525006706659935
0.035,0.02059089058399483,0.5177590913724566
0.04,0.02059089058399483,0.5106983701549584
0.045,0.02059089058399483,0.5038195313324841
0.05,0.02059089058399483,0.4971177149584541
0.055,0.02059089058399483,0.4905882081366777
0.06,0.02059089058399483,0.4842264404951012
0.065,0.02059089058399483,0.47802797980632944
0.07,0.02059089058399483,0.4719885277501276
0.075,0.02059089058399483,0.46610391581327015
0.08,0.02059089058399483,0.4603701013222579
0.085,0.02059089058399483,0.4547831636045838
0.09,0.02059089058399483,0.4493393002743593
0.095,0.02059089058399483,0.4440348236382673
0.1,0.02059089058399483,0.4388661572179371
0.105,0.02059089058399483,0.43382983238496914
0.11,0.02059089058399483,0.4289224851049657
0.115,0.02059089058399483,0.42414085278704594
0.12,0.02059089058399483,0.4194817712354408
0.125,0.02059089058399483,0.41494217169988107
0.13,0.02059089058399483,0.4105190780216004
0.135,0.02059089058399483,0.406209603871884
0.14,0.02059089058399483,0.40201095008019383
0.145,0.02059089058399483,0.39792040204900786
0.15,0.02059089058399483,0.39393532725259933
0.155,0.02059089058399483,0.3900531728170827
0.16,0.02059089058399483,0.3862714631791412
0.165,0.02059089058399483,0.38258779782093444
0.17,0.02059089058399483,0.3789998490787766
0.17500000000000002,0.02059089058399483,0.3755053600232518
0.18,0.02059089058399483,0.3721021424085113
0.185,0.02059089058399483,0.3687880746885828
0.19,0.02059089058399483,0.36556110009858295
0.195,0.02059089058399483,0.36241922479880717
0.2,0.02059089058399483,0.35936051607973213
0.20500000000000002,0.02059089058399483,0.3563831006260395
0.21,0.02059089058399483,0.35348516283782894
0.215,0.02059089058399483,0.35066494320725383
0.22,0.02059089058399483,0.34792073674887564
0.225,0.02059089058399483,0.3452508914820845
0.23,0.02059089058399483,0.3426538069640003
0.23500000000000001,0.02059089058399483,0.3401279328713154
0.24,0.02059089058399483,0.33767176762959666
0.245,0.02059089058399483,0.33528385708861635
0.25,0.02059089058399483,0.3329627932423292
0.255,0.02059089058399483,0.3307072129921653
0.26,0.02059089058399483,0.3285157969523496
0.265,0.02059089058399483,0.3263872682960082
0.27,0.02059089058399483,0.3243203916408656
0.275,0.02059089058399483,0.3223139719733771
0.28,0.02059089058399483,0.3203668536101826
0.28500000000000003,0.02059089058399483,0.3184779191958111
0.29,0.02059089058399483,0.31664608873559874
0.295,0.02059089058399483,0.314870318662823
0.3,0.02059089058399483,0.3131496009390972
0.305,0.02059089058399483,0.3114829621870938
0.31,0.02059089058399483,0.3098694628547097
0.315,0.02059089058399483,0.30830819640981555
0.32,0.02059089058399483,0.3067982885647629
0.325,0.02059089058399483,0.3053388965298554
0.33,0.02059089058399483,0.3039292082950213
0.335,0.02059089058399483,0.3025684419389538
0.34,0.02059089058399483,0.3012558449650132
0.34500000000000003,0.02059089058399483,0.29999069366321596
0.35000000000000003,0.02059089058399483,0.29877229249765835
0.355,0.02059089058399483,0.2975999735187548
0.36,0.02059089058399483,0.29647309579969133
0.365,0.02059089058399483,0.2953910448965239
0.37,0.02059089058399483,0.2943532323313717
0.375,0.02059089058399483,0.293359095098185
0.38,0.02059089058399483,0.29240809519058464
0.385,0.02059089058399483,0.2914997191512976
0.39,0.02059089058399483,0.2906334776427308
0.395,0.02059089058399483,0.28980890503825335
0.4,0.02059089058399483,0.28902555903377125
0.405,0.02059089058399483,0.2882830202792058
0.41000000000000003,0.02059089058399483,0.287580892029502
0.41500000000000004,0.02059089058399483,0.28691879981481866
0.42,0.02059089058399483,0.2862963911295654
0.425,0.02059089058399483,0.28571333513997654
0.43,0.02059089058399483,0.2851693224099261
0.435,0.02059089058399483,0.28466406464471045
0.44,0.02059089058399483,0.28419729445254027
0.445,0.02059089058399483,0.2837687651235025
0.45,0.02059089058399483,0.28337825042577264
0.455,0.02059089058399483,0.28302554441887035
0.46,0.02059089058399483,0.2827104612837738
0.465,0.02059089058399483,0.28243283516972173
0.47000000000000003,0.02059089058399483,0.2821925200575491
0.47500000000000003,0.02059089058399483,0.2819893896394218
0.48,0.02059089058399483,0.2818233372148476
0.485,0.02059089058399483,0.2816942756028615
0.49,0.02059089058399483,0.2816021370702964
0.495,0.02059089058399483,0.28154687327606714
0.5,0.02059089058399483,0.28152845523141484
0.505,0.02059089058399483,0.28154687327606714
0.51,0.02059089058399483,0.2816021370702963
0.515,0.02059089058399483,0.2816942756028616
0.52,0.02059089058399483,0.2818233372148476
0.525,0.02059089058399483,0.2819893896394217
0.53,0.02059089058399483,0.28219252005754913
0.535,0.02059089058399483,0.2824328351697218
0.54,0.02059089058399483,0.28271046128377386
0.545,0.02059089058399483,0.2830255444188704
0.55,0.02059089058399483,0.2833782504257727
0.555,0.02059089058399483,0.2837687651235026
0.56,0.02059089058399483,0.28419729445254016
0.5650000000000001,0.02059089058399483,0.28466406464471056
0.5700000000000001,0.02059089058399483,0.28516932240992615
0.5750000000000001,0.02059089058399483,0.28571333513997654
0.58,0.02059089058399483,0.28629639112956545
0.585,0.02059089058399483,0.28691879981481855
0.59,0.02059089058399483,0.287580892029502
0.595,0.02059089058399483,0.28828302027920577
0.6,0.02059089058399483,0.28902555903377125
0.605,0.02059089058399483,0.28980890503825335
0.61,0.02059089058399483,0.29063347764273073
0.615,0.02059089058399483,0.29149971915129763
0.62,0.02059089058399483,0.2924080951905847
0.625,0.02059089058399483,0.2933590950981849
0.63,0.02059089058399483,0.29435323233137156
0.635,0.02059089058399483,0.2953910448965239
0.64,0.02059089058399483,0.29647309579969133
0.645,0.02059089058399483,0.2975999735187548
0.65,0.02059089058399483,0.29877229249765835
0.655,0.02059089058399483,0.29999069366321596
0.66,0.02059089058399483,0.3012558449650133
0.665,0.02059089058399483,0.30256844193895377
0.67,0.02059089058399483,0.3039292082950214
0.675,0.02059089058399483,0.30533889652985535
0.68,0.02059089058399483,0.306798288564763
0.685,0.02059089058399483,0.30830819640981555
0.6900000000000001,0.02059089058399483,0.3098694628547097
0.6950000000000001,0.02059089058399483,0.3114829621870937
0.7000000000000001,0.02059089058399483,0.3131496009390972
0.705,0.02059089058399483,0.31487031866282306
0.71,0.02059089058399483,0.3166460887355986
0.715,0.02059089058399483,0.31847791919581103
0.72,0.02059089058399483,0.3203668536101826
0.725,0.02059089058399483,0.32231397197337697
0.73,0.02059089058399483,0.3243203916408656
0.735,0.02059089058399483,0.3263872682960081
0.74,0.02059089058399483,0.32851579695234967
0.745,0.02059089058399483,0.3307072129921653
0.75,0.02059089058399483,0.33296279324232914
0.755,0.02059089058399483,0.3352838570886162
0.76,0.02059089058399483,0.3376717676295967
0.765,0.02059089058399483,0.3401279328713154
0.77,0.02059089058399483,0.3426538069640003
0.775,0.02059089058399483,0.3452508914820845
0.78,0.02059089058399483,0.34792073674887564
0.785,0.02059089058399483,0.35066494320725383
0.79,0.02059089058399483,0.3534851628378288
0.795,0.02059089058399483,0.35638310062603945
0.8,0.02059089058399483,0.3593605160797322
0.805,0.02059089058399483,0.3624192247988073
0.81,0.02059089058399483,0.3655611000985831
0.8150000000000001,0.02059089058399483,0.3687880746885829
0.8200000000000001,0.02059089058399483,0.3721021424085114
0.8250000000000001,0.02059089058399483,0.37550536002325186
0.8300000000000001,0.02059089058399483,0.3789998490787768
0.835,0.02059089058399483,0.38258779782093444
0.84,0.02059089058399483,0.3862714631791412
0.845,0.02059089058399483,0.39005317281708274
0.85,0.02059089058399483,0.39393532725259933
0.855,0.02059089058399483,0.39792040204900786
0.86,0.02059089058399483,0.40201095008019383
0.865,0.02059089058399483,0.4062096038718839
0.87,0.02059089058399483,0.41051907802160037
0.875,0.02059089058399483,0.4149421716998811
0.88,0.02059089058399483,0.4194817712354409
0.885,0.02059089058399483,0.42414085278704594
0.89,0.02059089058399483,0.4289224851049656
0.895,0.02059089058399483,0.43382983238496897
0.9,0.02059089058399483,0.4388661572179371
0.905,0.02059089058399483,0.44403482363826724
0.91,0.02059089058399483,0.4493393002743593
0.915,0.02059089058399483,0.4547831636045837
0.92,0.02059089058399483,0.46037010132225786
0.925,0.02059089058399483,0.46610391581327004
0.93,0.02059089058399483,0.47198852775012784
0.935,0.02059089058399483,0.47802797980632955
0.9400000000000001,0.02059089058399483,0.484226440495101
0.9450000000000001,0.02059089058399483,0.49058820813667775
0.9500000000000001,0.02059089058399483,0.4971177149584542
0.9550000000000001,0.02059089058399483,0.5038195313324844
0.96,0.02059089058399483,0.5106983701549584
0.965,0.02059089058399483,0.5177590913724566
0.97,0.02059089058399483,0.5250067066599349
0.975,0.02059089058399483,0.5324463842555857
0.98,0.02059089058399483,0.540083453957878
0.985,0.02059089058399483,0.5479234122902844
0.99,0.02059089058399483,0.5559719278393788
0.995,0.02059089058399483,0.5642348467722019
1.0,0.02059089058399483,0.5727181985389828
